Draw Date,Month,Day,Year,Weekday,Weekday,Quarter,Winning Numbers,Mega Ball,Multiplier,First,Second,Third,Fourth,Fifth
6/5/2018,6,5,2018,Tue,0,2,22 33 41 48 52,4,2,22,33,41,48,52
6/1/2018,6,1,2018,Fri,1,2,05 24 52 62 66,17,3,5,24,52,62,66
5/29/2018,5,29,2018,Tue,0,2,02 11 55 58 67,2,3,2,11,55,58,67
5/25/2018,5,25,2018,Fri,1,2,11 14 51 64 68,25,4,11,14,51,64,68
5/22/2018,5,22,2018,Tue,0,2,16 17 21 36 48,9,3,16,17,21,36,48
5/18/2018,5,18,2018,Fri,1,2,09 26 53 64 66,11,2,9,26,53,64,66
5/15/2018,5,15,2018,Tue,0,2,21 34 44 49 61,21,2,21,34,44,49,61
5/11/2018,5,11,2018,Fri,1,2,14 38 40 53 70,22,3,14,38,40,53,70
5/8/2018,5,8,2018,Tue,0,2,08 15 39 64 67,13,2,8,15,39,64,67
5/4/2018,5,4,2018,Fri,1,2,04 05 10 12 18,21,4,4,5,10,12,18
5/1/2018,5,1,2018,Tue,0,2,02 07 20 55 70,1,4,2,7,20,55,70
4/27/2018,4,27,2018,Fri,1,2,02 29 38 63 66,11,2,2,29,38,63,66
4/24/2018,4,24,2018,Tue,0,2,03 19 31 32 48,10,3,3,19,31,32,48
4/20/2018,4,20,2018,Fri,1,2,01 15 18 32 45,4,2,1,15,18,32,45
4/17/2018,4,17,2018,Tue,0,2,12 34 44 47 65,22,4,12,34,44,47,65
4/13/2018,4,13,2018,Fri,1,2,08 09 32 42 59,10,4,8,9,32,42,59
4/10/2018,4,10,2018,Tue,0,2,05 13 31 43 53,20,2,5,13,31,43,53
4/6/2018,4,6,2018,Fri,1,2,16 33 51 54 67,20,4,16,33,51,54,67
4/3/2018,4,3,2018,Tue,0,2,04 29 39 42 62,14,2,4,29,39,42,62
3/30/2018,3,30,2018,Fri,1,1,11 28 31 46 59,1,3,11,28,31,46,59
3/27/2018,3,27,2018,Tue,0,1,07 25 43 56 59,13,3,7,25,43,56,59
3/23/2018,3,23,2018,Fri,1,1,04 08 23 53 59,17,3,4,8,23,53,59
3/20/2018,3,20,2018,Tue,0,1,14 38 51 64 70,9,3,14,38,51,64,70
3/16/2018,3,16,2018,Fri,1,1,01 13 26 33 52,11,3,1,13,26,33,52
3/13/2018,3,13,2018,Tue,0,1,06 30 58 60 61,17,5,6,30,58,60,61
3/9/2018,3,9,2018,Fri,1,1,07 17 18 46 66,22,4,7,17,18,46,66
3/6/2018,3,6,2018,Tue,0,1,01 04 26 35 39,22,5,1,4,26,35,39
3/2/2018,3,2,2018,Fri,1,1,24 28 42 60 64,8,4,24,28,42,60,64
2/27/2018,2,27,2018,Tue,0,1,10 17 21 38 43,23,3,10,17,21,38,43
2/23/2018,2,23,2018,Fri,1,1,07 11 13 19 58,9,4,7,11,13,19,58
2/20/2018,2,20,2018,Tue,0,1,17 19 23 24 43,14,3,17,19,23,24,43
2/16/2018,2,16,2018,Fri,1,1,14 38 48 53 58,16,3,14,38,48,53,58
2/13/2018,2,13,2018,Tue,0,1,05 12 15 46 49,1,4,5,12,15,46,49
2/9/2018,2,9,2018,Fri,1,1,28 34 41 46 47,14,3,28,34,41,46,47
2/6/2018,2,6,2018,Tue,0,1,14 17 25 48 58,25,3,14,17,25,48,58
2/2/2018,2,2,2018,Fri,1,1,01 04 14 17 40,4,3,1,4,14,17,40
1/30/2018,1,30,2018,Tue,0,1,29 41 42 49 57,24,3,29,41,42,49,57
1/26/2018,1,26,2018,Fri,1,1,10 16 27 38 43,1,4,10,16,27,38,43
1/23/2018,1,23,2018,Tue,0,1,02 06 30 31 55,7,4,2,6,30,31,55
1/19/2018,1,19,2018,Fri,1,1,03 17 23 49 66,23,3,3,17,23,49,66
1/16/2018,1,16,2018,Tue,0,1,03 11 23 29 59,18,3,3,11,23,29,59
1/12/2018,1,12,2018,Fri,1,1,17 18 33 46 60,24,4,17,18,33,46,60
1/9/2018,1,9,2018,Tue,0,1,16 29 31 65 67,23,3,16,29,31,65,67
1/5/2018,1,5,2018,Fri,1,1,28 30 39 59 70,10,3,28,30,39,59,70
1/2/2018,1,2,2018,Tue,0,1,01 42 47 64 70,22,4,1,42,47,64,70
12/29/2017,12,29,2017,Fri,1,4,04 10 18 28 62,7,2,4,10,18,28,62
12/26/2017,12,26,2017,Tue,0,4,10 12 20 38 41,25,4,10,12,20,38,41
12/22/2017,12,22,2017,Fri,1,4,01 20 30 33 42,16,4,1,20,30,33,42
12/19/2017,12,19,2017,Tue,0,4,28 37 39 42 58,2,3,28,37,39,42,58
12/15/2017,12,15,2017,Fri,1,4,04 12 36 44 57,19,4,4,12,36,44,57
12/12/2017,12,12,2017,Tue,0,4,08 23 24 25 27,9,2,8,23,24,25,27
12/8/2017,12,8,2017,Fri,1,4,06 37 46 60 70,24,2,6,37,46,60,70
12/5/2017,12,5,2017,Tue,0,4,14 15 37 42 67,22,4,14,15,37,42,67
12/1/2017,12,1,2017,Fri,1,4,16 22 40 41 59,8,4,16,22,40,41,59
11/28/2017,11,28,2017,Tue,0,4,10 17 47 51 61,5,2,10,17,47,51,61
11/24/2017,11,24,2017,Fri,1,4,16 36 54 61 64,22,3,16,36,54,61,64
11/21/2017,11,21,2017,Tue,0,4,03 07 22 27 50,3,3,3,7,22,27,50
11/17/2017,11,17,2017,Fri,1,4,03 26 55 58 70,15,4,3,26,55,58,70
11/14/2017,11,14,2017,Tue,0,4,01 14 21 22 28,19,3,1,14,21,22,28
11/10/2017,11,10,2017,Fri,1,4,06 23 38 42 58,24,2,6,23,38,42,58
11/7/2017,11,7,2017,Tue,0,4,01 54 60 68 69,11,4,1,54,60,68,69
11/3/2017,11,3,2017,Fri,1,4,10 22 42 61 69,3,2,10,22,42,61,69
10/31/2017,10,31,2017,Tue,0,4,06 28 31 52 53,12,4,6,28,31,52,53
10/27/2017,10,27,2017,Fri,1,4,17 27 41 51 52,13,5,17,27,41,51,52
10/24/2017,10,24,2017,Tue,0,4,20 24 34 56 64,6,4,20,24,34,56,64
10/20/2017,10,20,2017,Fri,1,4,06 23 63 66 73,9,2,6,23,63,66,73
10/17/2017,10,17,2017,Tue,0,4,31 45 49 56 70,11,5,31,45,49,56,70
10/13/2017,10,13,2017,Fri,1,4,02 07 18 26 31,12,2,2,7,18,26,31
10/10/2017,10,10,2017,Tue,0,4,07 16 24 61 62,2,5,7,16,24,61,62
10/6/2017,10,6,2017,Fri,1,4,21 33 36 45 56,12,5,21,33,36,45,56
10/3/2017,10,3,2017,Tue,0,4,12 18 19 25 67,7,5,12,18,19,25,67
9/29/2017,9,29,2017,Fri,1,3,25 51 62 73 74,7,5,25,51,62,73,74
9/26/2017,9,26,2017,Tue,0,3,01 10 57 66 75,4,4,1,10,57,66,75
9/22/2017,9,22,2017,Fri,1,3,05 39 54 63 66,15,5,5,39,54,63,66
9/19/2017,9,19,2017,Tue,0,3,09 28 31 50 61,10,2,9,28,31,50,61
9/15/2017,9,15,2017,Fri,1,3,18 24 34 38 58,3,4,18,24,34,38,58
9/12/2017,9,12,2017,Tue,0,3,26 37 41 54 65,3,4,26,37,41,54,65
9/8/2017,9,8,2017,Fri,1,3,04 05 14 26 73,14,3,4,5,14,26,73
9/5/2017,9,5,2017,Tue,0,3,11 17 59 70 72,1,3,11,17,59,70,72
9/1/2017,9,1,2017,Fri,1,3,04 13 31 50 64,12,5,4,13,31,50,64
8/29/2017,8,29,2017,Tue,0,3,02 13 17 35 73,3,3,2,13,17,35,73
8/25/2017,8,25,2017,Fri,1,3,17 38 42 51 65,11,5,17,38,42,51,65
8/22/2017,8,22,2017,Tue,0,3,24 35 46 50 51,7,4,24,35,46,50,51
8/18/2017,8,18,2017,Fri,1,3,01 31 34 40 75,6,3,1,31,34,40,75
8/15/2017,8,15,2017,Tue,0,3,07 16 20 66 73,7,2,7,16,20,66,73
8/11/2017,8,11,2017,Fri,1,3,23 33 53 56 58,6,5,23,33,53,56,58
8/8/2017,8,8,2017,Tue,0,3,11 17 50 52 74,14,2,11,17,50,52,74
8/4/2017,8,4,2017,Fri,1,3,09 17 25 63 71,4,5,9,17,25,63,71
8/1/2017,8,1,2017,Tue,0,3,20 22 52 57 73,7,5,20,22,52,57,73
7/28/2017,7,28,2017,Fri,1,3,04 06 31 49 52,11,3,4,6,31,49,52
7/25/2017,7,25,2017,Tue,0,3,02 05 26 58 60,6,3,2,5,26,58,60
7/21/2017,7,21,2017,Fri,1,3,18 31 36 50 74,10,4,18,31,36,50,74
7/18/2017,7,18,2017,Tue,0,3,08 12 23 51 73,6,4,8,12,23,51,73
7/14/2017,7,14,2017,Fri,1,3,11 12 24 32 73,1,4,11,12,24,32,73
7/11/2017,7,11,2017,Tue,0,3,07 18 24 55 74,10,2,7,18,24,55,74
7/7/2017,7,7,2017,Fri,1,3,02 09 11 28 60,10,5,2,9,11,28,60
7/4/2017,7,4,2017,Tue,0,3,16 39 47 53 71,15,4,16,39,47,53,71
6/30/2017,6,30,2017,Fri,1,2,10 38 51 55 64,6,5,10,38,51,55,64
6/27/2017,6,27,2017,Tue,0,2,04 21 45 52 57,14,4,4,21,45,52,57
6/23/2017,6,23,2017,Fri,1,2,12 20 53 66 74,11,2,12,20,53,66,74
6/20/2017,6,20,2017,Tue,0,2,02 15 41 49 63,3,3,2,15,41,49,63
6/16/2017,6,16,2017,Fri,1,2,18 22 26 30 44,9,5,18,22,26,30,44
6/13/2017,6,13,2017,Tue,0,2,27 51 62 68 75,8,3,27,51,62,68,75
6/9/2017,6,9,2017,Fri,1,2,03 16 28 33 37,9,5,3,16,28,33,37
6/6/2017,6,6,2017,Tue,0,2,03 05 16 49 75,5,3,3,5,16,49,75
6/2/2017,6,2,2017,Fri,1,2,07 42 57 69 72,10,3,7,42,57,69,72
5/30/2017,5,30,2017,Tue,0,2,05 20 32 37 67,5,5,5,20,32,37,67
5/26/2017,5,26,2017,Fri,1,2,25 26 28 37 56,5,3,25,26,28,37,56
5/23/2017,5,23,2017,Tue,0,2,06 13 17 33 60,14,2,6,13,17,33,60
5/19/2017,5,19,2017,Fri,1,2,01 04 05 24 30,1,3,1,4,5,24,30
5/16/2017,5,16,2017,Tue,0,2,04 35 39 56 72,11,5,4,35,39,56,72
5/12/2017,5,12,2017,Fri,1,2,28 34 41 42 47,13,4,28,34,41,42,47
5/9/2017,5,9,2017,Tue,0,2,06 29 45 69 73,11,5,6,29,45,69,73
5/5/2017,5,5,2017,Fri,1,2,04 23 33 47 53,7,4,4,23,33,47,53
5/2/2017,5,2,2017,Tue,0,2,05 14 42 43 58,1,4,5,14,42,43,58
4/28/2017,4,28,2017,Fri,1,2,06 13 18 20 31,13,4,6,13,18,20,31
4/25/2017,4,25,2017,Tue,0,2,03 13 33 40 50,2,4,3,13,33,40,50
4/21/2017,4,21,2017,Fri,1,2,01 12 13 32 34,10,2,1,12,13,32,34
4/18/2017,4,18,2017,Tue,0,2,08 29 30 43 64,6,3,8,29,30,43,64
4/14/2017,4,14,2017,Fri,1,2,05 10 55 60 73,12,5,5,10,55,60,73
4/11/2017,4,11,2017,Tue,0,2,19 34 35 38 49,8,5,19,34,35,38,49
4/7/2017,4,7,2017,Fri,1,2,30 33 43 47 69,15,5,30,33,43,47,69
4/4/2017,4,4,2017,Tue,0,2,13 24 34 35 55,9,5,13,24,34,35,55
3/31/2017,3,31,2017,Fri,1,1,17 24 27 32 58,10,3,17,24,27,32,58
3/28/2017,3,28,2017,Tue,0,1,30 33 35 37 46,10,5,30,33,35,37,46
3/24/2017,3,24,2017,Fri,1,1,05 28 37 61 69,1,5,5,28,37,61,69
3/21/2017,3,21,2017,Tue,0,1,04 45 53 73 75,7,3,4,45,53,73,75
3/17/2017,3,17,2017,Fri,1,1,11 27 31 58 60,10,4,11,27,31,58,60
3/14/2017,3,14,2017,Tue,0,1,16 23 28 33 59,13,3,16,23,28,33,59
3/10/2017,3,10,2017,Fri,1,1,26 38 42 58 70,5,5,26,38,42,58,70
3/7/2017,3,7,2017,Tue,0,1,03 30 45 53 68,11,3,3,30,45,53,68
3/3/2017,3,3,2017,Fri,1,1,14 26 39 48 51,9,5,14,26,39,48,51
2/28/2017,2,28,2017,Tue,0,1,20 33 45 58 69,4,2,20,33,45,58,69
2/24/2017,2,24,2017,Fri,1,1,12 29 33 42 68,14,3,12,29,33,42,68
2/21/2017,2,21,2017,Tue,0,1,09 21 30 32 75,9,5,9,21,30,32,75
2/17/2017,2,17,2017,Fri,1,1,04 56 58 67 75,8,5,4,56,58,67,75
2/14/2017,2,14,2017,Tue,0,1,07 11 33 60 68,15,5,7,11,33,60,68
2/10/2017,2,10,2017,Fri,1,1,32 39 51 62 75,14,5,32,39,51,62,75
2/7/2017,2,7,2017,Tue,0,1,23 28 37 56 71,12,5,23,28,37,56,71
2/3/2017,2,3,2017,Fri,1,1,03 06 29 30 64,3,5,3,6,29,30,64
1/31/2017,1,31,2017,Tue,0,1,03 14 27 62 72,4,3,3,14,27,62,72
1/27/2017,1,27,2017,Fri,1,1,17 37 53 54 61,8,3,17,37,53,54,61
1/24/2017,1,24,2017,Tue,0,1,08 42 54 63 67,11,4,8,42,54,63,67
1/20/2017,1,20,2017,Fri,1,1,07 09 24 41 53,14,3,7,9,24,41,53
1/17/2017,1,17,2017,Tue,0,1,20 31 54 56 59,3,5,20,31,54,56,59
1/13/2017,1,13,2017,Fri,1,1,10 44 58 74 75,11,3,10,44,58,74,75
1/10/2017,1,10,2017,Tue,0,1,11 20 40 41 59,15,5,11,20,40,41,59
1/6/2017,1,6,2017,Fri,1,1,06 10 44 47 54,6,5,6,10,44,47,54
1/3/2017,1,3,2017,Tue,0,1,14 16 23 49 53,12,2,14,16,23,49,53
12/30/2016,12,30,2016,Fri,1,4,06 21 33 39 43,2,2,6,21,33,39,43
12/27/2016,12,27,2016,Tue,0,4,02 28 30 38 39,11,4,2,28,30,38,39
12/23/2016,12,23,2016,Fri,1,4,21 30 39 60 69,15,5,21,30,39,60,69
12/20/2016,12,20,2016,Tue,0,4,01 12 14 48 65,2,5,1,12,14,48,65
12/16/2016,12,16,2016,Fri,1,4,01 08 15 36 43,6,5,1,8,15,36,43
12/13/2016,12,13,2016,Tue,0,4,02 15 26 34 41,14,5,2,15,26,34,41
12/9/2016,12,9,2016,Fri,1,4,19 27 47 67 68,1,5,19,27,47,67,68
12/6/2016,12,6,2016,Tue,0,4,13 34 48 53 63,12,4,13,34,48,53,63
12/2/2016,12,2,2016,Fri,1,4,03 33 35 49 51,1,2,3,33,35,49,51
11/29/2016,11,29,2016,Tue,0,4,22 33 49 51 59,8,4,22,33,49,51,59
11/25/2016,11,25,2016,Fri,1,4,44 47 49 69 75,10,3,44,47,49,69,75
11/22/2016,11,22,2016,Tue,0,4,01 43 45 66 69,7,5,1,43,45,66,69
11/18/2016,11,18,2016,Fri,1,4,31 32 49 55 58,15,5,31,32,49,55,58
11/15/2016,11,15,2016,Tue,0,4,09 17 23 57 71,6,3,9,17,23,57,71
11/11/2016,11,11,2016,Fri,1,4,16 40 47 53 59,11,5,16,40,47,53,59
11/8/2016,11,8,2016,Tue,0,4,46 48 53 61 74,12,4,46,48,53,61,74
11/4/2016,11,4,2016,Fri,1,4,10 29 32 44 46,10,3,10,29,32,44,46
11/1/2016,11,1,2016,Tue,0,4,19 24 31 39 45,13,2,19,24,31,39,45
10/28/2016,10,28,2016,Fri,1,4,07 38 46 57 66,2,5,7,38,46,57,66
10/25/2016,10,25,2016,Tue,0,4,08 09 24 49 67,13,3,8,9,24,49,67
10/21/2016,10,21,2016,Fri,1,4,12 43 44 48 66,3,4,12,43,44,48,66
10/18/2016,10,18,2016,Tue,0,4,07 24 28 65 74,1,2,7,24,28,65,74
10/14/2016,10,14,2016,Fri,1,4,07 27 60 64 74,5,3,7,27,60,64,74
10/11/2016,10,11,2016,Tue,0,4,36 39 42 45 48,3,2,36,39,42,45,48
10/7/2016,10,7,2016,Fri,1,4,24 37 42 50 65,14,2,24,37,42,50,65
10/4/2016,10,4,2016,Tue,0,4,18 29 30 54 66,1,5,18,29,30,54,66
9/30/2016,9,30,2016,Fri,1,3,21 30 47 50 57,9,5,21,30,47,50,57
9/27/2016,9,27,2016,Tue,0,3,14 16 26 53 72,4,4,14,16,26,53,72
9/23/2016,9,23,2016,Fri,1,3,01 05 08 25 62,14,3,1,5,8,25,62
9/20/2016,9,20,2016,Tue,0,3,02 22 34 62 72,2,5,2,22,34,62,72
9/16/2016,9,16,2016,Fri,1,3,13 21 28 34 40,15,3,13,21,28,34,40
9/13/2016,9,13,2016,Tue,0,3,06 15 17 39 56,15,3,6,15,17,39,56
9/9/2016,9,9,2016,Fri,1,3,01 34 43 44 63,11,4,1,34,43,44,63
9/6/2016,9,6,2016,Tue,0,3,25 37 58 69 75,8,3,25,37,58,69,75
9/2/2016,9,2,2016,Fri,1,3,22 28 41 46 60,3,3,22,28,41,46,60
8/30/2016,8,30,2016,Tue,0,3,28 32 41 51 71,11,4,28,32,41,51,71
8/26/2016,8,26,2016,Fri,1,3,10 11 31 41 44,14,2,10,11,31,41,44
8/23/2016,8,23,2016,Tue,0,3,02 07 46 61 66,1,2,2,7,46,61,66
8/19/2016,8,19,2016,Fri,1,3,22 37 45 65 73,13,5,22,37,45,65,73
8/16/2016,8,16,2016,Tue,0,3,02 43 52 62 63,6,5,2,43,52,62,63
8/12/2016,8,12,2016,Fri,1,3,04 41 44 56 69,10,4,4,41,44,56,69
8/9/2016,8,9,2016,Tue,0,3,12 19 20 44 66,1,5,12,19,20,44,66
8/5/2016,8,5,2016,Fri,1,3,05 18 28 54 74,6,4,5,18,28,54,74
8/2/2016,8,2,2016,Tue,0,3,03 12 36 54 70,12,5,3,12,36,54,70
7/29/2016,7,29,2016,Fri,1,3,11 16 19 31 48,4,5,11,16,19,31,48
7/26/2016,7,26,2016,Tue,0,3,01 04 31 36 54,9,3,1,4,31,36,54
7/22/2016,7,22,2016,Fri,1,3,08 24 25 26 30,7,4,8,24,25,26,30
7/19/2016,7,19,2016,Tue,0,3,03 34 54 65 66,4,5,3,34,54,65,66
7/15/2016,7,15,2016,Fri,1,3,16 51 52 56 58,4,2,16,51,52,56,58
7/12/2016,7,12,2016,Tue,0,3,06 08 22 46 68,4,4,6,8,22,46,68
7/8/2016,7,8,2016,Fri,1,3,08 19 20 55 73,5,2,8,19,20,55,73
7/5/2016,7,5,2016,Tue,0,3,29 46 53 64 73,10,5,29,46,53,64,73
7/1/2016,7,1,2016,Fri,1,3,20 41 42 45 49,14,2,20,41,42,45,49
6/28/2016,6,28,2016,Tue,0,2,15 17 20 35 55,7,2,15,17,20,35,55
6/24/2016,6,24,2016,Fri,1,2,11 14 54 57 63,11,5,11,14,54,57,63
6/21/2016,6,21,2016,Tue,0,2,06 13 21 49 50,10,5,6,13,21,49,50
6/17/2016,6,17,2016,Fri,1,2,20 23 30 44 59,9,5,20,23,30,44,59
6/14/2016,6,14,2016,Tue,0,2,36 37 38 52 62,6,5,36,37,38,52,62
6/10/2016,6,10,2016,Fri,1,2,34 61 66 67 68,7,5,34,61,66,67,68
6/7/2016,6,7,2016,Tue,0,2,25 48 51 65 72,4,4,25,48,51,65,72
6/3/2016,6,3,2016,Fri,1,2,32 54 65 66 71,10,3,32,54,65,66,71
5/31/2016,5,31,2016,Tue,0,2,09 31 34 41 49,8,5,9,31,34,41,49
5/27/2016,5,27,2016,Fri,1,2,18 41 50 68 70,9,3,18,41,50,68,70
5/24/2016,5,24,2016,Tue,0,2,11 50 51 70 75,15,4,11,50,51,70,75
5/20/2016,5,20,2016,Fri,1,2,19 24 26 40 68,8,2,19,24,26,40,68
5/17/2016,5,17,2016,Tue,0,2,17 24 27 48 75,6,3,17,24,27,48,75
5/13/2016,5,13,2016,Fri,1,2,20 21 38 54 66,7,4,20,21,38,54,66
5/10/2016,5,10,2016,Tue,0,2,12 22 46 56 74,4,3,12,22,46,56,74
5/6/2016,5,6,2016,Fri,1,2,14 26 27 32 36,7,4,14,26,27,32,36
5/3/2016,5,3,2016,Tue,0,2,28 29 33 36 45,15,5,28,29,33,36,45
4/29/2016,4,29,2016,Fri,1,2,05 06 37 55 74,10,5,5,6,37,55,74
4/26/2016,4,26,2016,Tue,0,2,14 16 17 28 48,2,2,14,16,17,28,48
4/22/2016,4,22,2016,Fri,1,2,02 19 21 42 60,13,5,2,19,21,42,60
4/19/2016,4,19,2016,Tue,0,2,09 28 40 57 65,2,5,9,28,40,57,65
4/15/2016,4,15,2016,Fri,1,2,09 10 34 37 73,9,5,9,10,34,37,73
4/12/2016,4,12,2016,Tue,0,2,07 11 59 62 63,3,5,7,11,59,62,63
4/8/2016,4,8,2016,Fri,1,2,31 38 52 65 71,15,3,31,38,52,65,71
4/5/2016,4,5,2016,Tue,0,2,13 45 52 53 57,10,5,13,45,52,53,57
4/1/2016,4,1,2016,Fri,1,2,25 28 33 41 69,6,2,25,28,33,41,69
3/29/2016,3,29,2016,Tue,0,1,33 38 40 46 49,15,5,33,38,40,46,49
3/25/2016,3,25,2016,Fri,1,1,04 11 12 35 46,12,2,4,11,12,35,46
3/22/2016,3,22,2016,Tue,0,1,06 19 34 38 70,5,5,6,19,34,38,70
3/18/2016,3,18,2016,Fri,1,1,05 08 57 59 73,13,5,5,8,57,59,73
3/15/2016,3,15,2016,Tue,0,1,18 26 30 44 68,7,4,18,26,30,44,68
3/11/2016,3,11,2016,Fri,1,1,14 18 48 54 71,13,4,14,18,48,54,71
3/8/2016,3,8,2016,Tue,0,1,27 37 54 66 69,5,5,27,37,54,66,69
3/4/2016,3,4,2016,Fri,1,1,21 26 33 48 73,14,4,21,26,33,48,73
3/1/2016,3,1,2016,Tue,0,1,01 29 33 34 55,6,5,1,29,33,34,55
2/26/2016,2,26,2016,Fri,1,1,03 15 19 62 74,14,4,3,15,19,62,74
2/23/2016,2,23,2016,Tue,0,1,16 32 39 53 57,10,5,16,32,39,53,57
2/19/2016,2,19,2016,Fri,1,1,02 27 41 50 75,4,4,2,27,41,50,75
2/16/2016,2,16,2016,Tue,0,1,09 31 33 46 64,4,3,9,31,33,46,64
2/12/2016,2,12,2016,Fri,1,1,01 07 44 68 73,1,3,1,7,44,68,73
2/9/2016,2,9,2016,Tue,0,1,03 42 46 56 71,13,4,3,42,46,56,71
2/5/2016,2,5,2016,Fri,1,1,04 06 23 55 75,2,3,4,6,23,55,75
2/2/2016,2,2,2016,Tue,0,1,07 13 25 51 70,9,4,7,13,25,51,70
1/29/2016,1,29,2016,Fri,1,1,20 28 49 51 52,6,2,20,28,49,51,52
1/26/2016,1,26,2016,Tue,0,1,14 27 39 50 69,2,2,14,27,39,50,69
1/22/2016,1,22,2016,Fri,1,1,21 25 40 46 56,3,5,21,25,40,46,56
1/19/2016,1,19,2016,Tue,0,1,02 17 31 39 47,9,2,2,17,31,39,47
1/15/2016,1,15,2016,Fri,1,1,29 41 53 54 70,12,2,29,41,53,54,70
1/12/2016,1,12,2016,Tue,0,1,15 27 29 31 48,15,4,15,27,29,31,48
1/8/2016,1,8,2016,Fri,1,1,11 39 51 57 75,2,5,11,39,51,57,75
1/5/2016,1,5,2016,Tue,0,1,01 04 36 48 57,13,5,1,4,36,48,57
1/1/2016,1,1,2016,Fri,1,1,07 18 37 38 39,9,5,7,18,37,38,39
12/29/2015,12,29,2015,Tue,0,4,20 25 55 62 74,7,3,20,25,55,62,74
12/25/2015,12,25,2015,Fri,1,4,15 25 29 44 51,4,4,15,25,29,44,51
12/22/2015,12,22,2015,Tue,0,4,11 21 40 50 70,15,3,11,21,40,50,70
12/18/2015,12,18,2015,Fri,1,4,06 23 24 28 62,7,5,6,23,24,28,62
12/15/2015,12,15,2015,Tue,0,4,18 25 47 51 61,5,5,18,25,47,51,61
12/11/2015,12,11,2015,Fri,1,4,14 20 43 54 69,5,4,14,20,43,54,69
12/8/2015,12,8,2015,Tue,0,4,07 17 37 49 73,15,3,7,17,37,49,73
12/4/2015,12,4,2015,Fri,1,4,26 42 47 61 73,6,5,26,42,47,61,73
12/1/2015,12,1,2015,Tue,0,4,05 07 25 50 59,12,2,5,7,25,50,59
11/27/2015,11,27,2015,Fri,1,4,16 20 39 56 59,12,3,16,20,39,56,59
11/24/2015,11,24,2015,Tue,0,4,02 19 30 38 70,8,4,2,19,30,38,70
11/20/2015,11,20,2015,Fri,1,4,09 12 29 37 67,15,2,9,12,29,37,67
11/17/2015,11,17,2015,Tue,0,4,12 14 18 24 61,10,3,12,14,18,24,61
11/13/2015,11,13,2015,Fri,1,4,17 18 31 35 59,9,5,17,18,31,35,59
11/10/2015,11,10,2015,Tue,0,4,08 17 20 45 71,4,4,8,17,20,45,71
11/6/2015,11,6,2015,Fri,1,4,10 31 35 50 72,8,3,10,31,35,50,72
11/3/2015,11,3,2015,Tue,0,4,16 29 44 69 74,12,5,16,29,44,69,74
10/30/2015,10,30,2015,Fri,1,4,17 41 51 53 56,15,5,17,41,51,53,56
10/27/2015,10,27,2015,Tue,0,4,09 26 27 29 74,4,3,9,26,27,29,74
10/23/2015,10,23,2015,Fri,1,4,25 32 37 45 70,1,5,25,32,37,45,70
10/20/2015,10,20,2015,Tue,0,4,06 25 35 38 52,4,4,6,25,35,38,52
10/16/2015,10,16,2015,Fri,1,4,02 38 48 61 68,4,3,2,38,48,61,68
10/13/2015,10,13,2015,Tue,0,4,07 09 24 38 52,1,5,7,9,24,38,52
10/9/2015,10,9,2015,Fri,1,4,08 09 21 63 75,14,4,8,9,21,63,75
10/6/2015,10,6,2015,Tue,0,4,17 58 63 64 66,13,3,17,58,63,64,66
10/2/2015,10,2,2015,Fri,1,4,04 14 29 31 47,9,2,4,14,29,31,47
9/29/2015,9,29,2015,Tue,0,3,08 21 30 61 62,9,3,8,21,30,61,62
9/25/2015,9,25,2015,Fri,1,3,03 08 38 51 64,4,5,3,8,38,51,64
9/22/2015,9,22,2015,Tue,0,3,28 30 38 45 51,8,5,28,30,38,45,51
9/18/2015,9,18,2015,Fri,1,3,17 34 35 51 65,7,3,17,34,35,51,65
9/15/2015,9,15,2015,Tue,0,3,07 20 35 49 56,9,4,7,20,35,49,56
9/11/2015,9,11,2015,Fri,1,3,05 11 31 50 67,14,2,5,11,31,50,67
9/8/2015,9,8,2015,Tue,0,3,19 20 36 41 46,7,3,19,20,36,41,46
9/4/2015,9,4,2015,Fri,1,3,17 21 39 52 57,5,5,17,21,39,52,57
9/1/2015,9,1,2015,Tue,0,3,02 05 35 40 54,13,5,2,5,35,40,54
8/28/2015,8,28,2015,Fri,1,3,13 35 40 60 68,9,4,13,35,40,60,68
8/25/2015,8,25,2015,Tue,0,3,05 44 54 59 63,1,5,5,44,54,59,63
8/21/2015,8,21,2015,Fri,1,3,13 15 21 41 72,1,5,13,15,21,41,72
8/18/2015,8,18,2015,Tue,0,3,02 07 33 39 53,9,3,2,7,33,39,53
8/14/2015,8,14,2015,Fri,1,3,12 15 20 52 71,3,4,12,15,20,52,71
8/11/2015,8,11,2015,Tue,0,3,03 08 29 57 68,8,4,3,8,29,57,68
8/7/2015,8,7,2015,Fri,1,3,01 38 53 63 66,10,3,1,38,53,63,66
8/4/2015,8,4,2015,Tue,0,3,02 19 44 51 57,14,2,2,19,44,51,57
7/31/2015,7,31,2015,Fri,1,3,28 32 33 40 46,10,4,28,32,33,40,46
7/28/2015,7,28,2015,Tue,0,3,08 35 61 68 75,15,5,8,35,61,68,75
7/24/2015,7,24,2015,Fri,1,3,10 12 26 60 62,13,5,10,12,26,60,62
7/21/2015,7,21,2015,Tue,0,3,20 30 62 65 74,1,5,20,30,62,65,74
7/17/2015,7,17,2015,Fri,1,3,06 17 30 31 41,15,3,6,17,30,31,41
